도서관명,주소,lat,lon,정제주소
하상시각장애인도서관,서울특별시 강남구 개포로 613 하상장애인복지회관,37.4925535854819,127.075131653464,서울특별시 강남구 개포로 613 하상장애인복지회관
한국시각장애인복지재단점자도서관[이동도서관],서울특별시 강동구 구천면로 645 한국시각장애인복지관,37.5511122718085,127.169246436226,서울특별시 강동구 구천면로 645 한국시각장애인복지관
한국점자도서관,서울특별시 강동구 상암로4가길 32 암사2동새마을문고,37.5507339924066,127.124858314859,서울특별시 강동구 상암로4가길 32 암사2동새마을문고
강서점자도서관,서울특별시 강서구 공항대로 206   801~803호,37.5588934901654,126.830272839065,서울특별시 강서구 공항대로 206 801803호
실로암점자도서관,서울특별시 관악구 남부순환로 1717,37.4829413812848,126.941101848579,서울특별시 관악구 남부순환로 1717
영광시각장애인모바일점자도서관,"서울특별시 서대문구 세검정로 78-19, 2층",37.5951873274835,126.949024537158,"서울특별시 서대문구 세검정로 78-19, 2층"
IT로 열린도서관,"서울특별시 서초구 방배로 36, 이삭빌딩 301호",37.4781138583437,127.000159183738,"서울특별시 서초구 방배로 36, 이삭빌딩 301호"
성북점자도서관,서울특별시 성북구 동소문로25가길 20,37.5953939056075,127.019230727688,서울특별시 성북구 동소문로25가길 20
한국학생점자도서관,서울특별시 종로구 자하문로 131-1,37.5874428744223,126.969097473101,서울특별시 종로구 자하문로 131-1
